"name","phylum.x","surface","mesopelagic","bathypelagic","abyssopelagic"
"Tetralia_ocucaerulea","Arthropoda",423,NA,NA,NA
"Tetralia_rubridactyla","Arthropoda",1317,NA,NA,NA
"Tetraloides_heterodactylus","Arthropoda",493,NA,NA,NA
"Tetraloides_nigrifrons","Arthropoda",842,NA,NA,NA
"Tetraplax_quadridentata","Arthropoda",194,NA,NA,NA
"Tetrasquilla_mccullochae","Arthropoda",165,NA,NA,NA
"Tetrathyrus_forcipatus","Arthropoda",1399,1031,NA,NA
"Tetraxanthus_bidentatus","Arthropoda",377,327,NA,NA
"Tetraxanthus_rathbunae","Arthropoda",422,336,NA,NA
"Thalamita_admete","Arthropoda",1885,NA,NA,NA
"Thalamita_auauensis","Arthropoda",125,NA,NA,NA
"Thalamita_bouvieri","Arthropoda",1554,NA,NA,NA
"Thalamita_cerasma","Arthropoda",1023,NA,NA,NA
"Thalamita_chaptalii","Arthropoda",1418,NA,NA,NA
"Thalamita_coeruleipes","Arthropoda",2157,1798,NA,NA
"Thalamita_cooperi","Arthropoda",1233,NA,NA,NA
"Thalamita_crenata","Arthropoda",1486,NA,NA,NA
"Thalamita_dakini","Arthropoda",996,NA,NA,NA
"Thalamita_danae","Arthropoda",1621,NA,NA,NA
"Thalamita_demani","Arthropoda",1111,NA,NA,NA
"Thalamita_gatavakensis","Arthropoda",1272,NA,NA,NA
"Thalamita_gloriensis","Arthropoda",365,NA,NA,NA
"Thalamita_gracilipes","Arthropoda",1335,NA,NA,NA
"Thalamita_integra","Arthropoda",1495,NA,NA,NA
"Thalamita_iranica","Arthropoda",85,NA,NA,NA
"Thalamita_macropus","Arthropoda",1004,NA,NA,NA
"Thalamita_macrospinifera","Arthropoda",272,NA,NA,NA
"Thalamita_mitsiensis","Arthropoda",1538,NA,NA,NA
"Thalamita_multispinosa","Arthropoda",139,NA,NA,NA
"Thalamita_philippinensis","Arthropoda",1317,NA,NA,NA
"Thalamita_picta","Arthropoda",2012,NA,NA,NA
"Thalamita_pilumnoides","Arthropoda",867,NA,NA,NA
"Thalamita_poisonii","Arthropoda",550,NA,NA,NA
"Thalamita_prymna","Arthropoda",1594,NA,NA,NA
"Thalamita_pseudopelsarti","Arthropoda",653,NA,NA,NA
"Thalamita_quadrilobata","Arthropoda",1482,NA,NA,NA
"Thalamita_rubridens","Arthropoda",104,NA,NA,NA
"Thalamita_savignyi","Arthropoda",232,NA,NA,NA
"Thalamita_seurati","Arthropoda",105,NA,NA,NA
"Thalamita_sima","Arthropoda",1493,NA,NA,NA
"Thalamita_simillima","Arthropoda",32,NA,NA,NA
"Thalamita_spinifera","Arthropoda",1476,1238,NA,NA
"Thalamita_spinimana","Arthropoda",943,NA,NA,NA
"Thalamita_woodmasoni","Arthropoda",374,NA,NA,NA
"Thalamitoides_quadridens","Arthropoda",1608,NA,NA,NA
"Thalassina_anomala","Arthropoda",1357,NA,NA,NA
"Thalassocaris_crinita","Arthropoda",1528,NA,NA,NA
"Thalassograpsus_harpax","Arthropoda",1445,NA,NA,NA
"Thalassoplax_angusta","Arthropoda",356,327,NA,NA
"Thaumastocaris_streptopus","Arthropoda",1805,NA,NA,NA
"Thaumastocheles_bipristis","Arthropoda",455,369,293,NA
"Thaumastocheles_dochmiodon","Arthropoda",NA,1099,NA,NA
"Thaumastocheles_japonicus","Arthropoda",NA,354,NA,NA
"Thaumastocheles_massonktenos","Arthropoda",NA,1918,1563,NA
"Thaumastocheles_zaleucus","Arthropoda",NA,269,212,NA
"Thaumastochelopsis_brucei","Arthropoda",205,206,NA,NA
"Thaumastognathia_orectognathus","Arthropoda",86,50,NA,NA
"Thaumatelson_herdmani","Arthropoda",451,444,NA,NA
"Themistella_fusca","Arthropoda",554,391,NA,NA
"Themisto_abyssorum","Arthropoda",2456,1927,1075,NA
"Themisto_libellula","Arthropoda",2385,1492,NA,NA
"Thenus_orientalis","Arthropoda",1477,NA,NA,NA
"Thersandrus_compressus","Arthropoda",67,NA,NA,NA
"Thia_scutellata","Arthropoda",184,NA,NA,NA
"Thinora_maldivensis","Arthropoda",321,NA,NA,NA
"Thoe_puella","Arthropoda",226,NA,NA,NA
"Thomassinia_moorea","Arthropoda",44,NA,NA,NA
"Thompsonula_hyaenae","Arthropoda",397,NA,NA,NA
"Thor_amboinensis","Arthropoda",2001,NA,NA,NA
"Thor_dobkini","Arthropoda",274,NA,NA,NA
"Thor_floridanus","Arthropoda",307,NA,NA,NA
"Thor_manningi","Arthropoda",309,NA,NA,NA
"Thor_paschalis","Arthropoda",922,NA,NA,NA
"Thor_spinosus","Arthropoda",1083,NA,NA,NA
"Thurstonella_chelata","Arthropoda",149,144,87,NA
"Thylacoplethus_cubensis","Arthropoda",138,128,NA,NA
"Thylakogaster_majusculus","Arthropoda",NA,164,164,149
"Thymopides_grobovi","Arthropoda",NA,75,51,NA
"Thymops_birsteini","Arthropoda",295,224,165,NA
"Thymopsis_nilenta","Arthropoda",NA,169,169,NA
"Thyraplax_cooki","Arthropoda",NA,1189,1082,NA
"Thyraplax_truncata","Arthropoda",NA,393,NA,NA
"Thyrolambrus_astroides","Arthropoda",244,216,NA,NA
"Thyrolambrus_efflorescens","Arthropoda",598,NA,NA,NA
"Thyropus_sphaeroma","Arthropoda",1378,1030,NA,NA
"Thysanoessa_inermis","Arthropoda",4032,2616,1573,NA
"Thysanoessa_longicaudata","Arthropoda",2253,1553,743,NA
"Thysanoessa_longipes","Arthropoda",196,111,67,NA
"Thysanoessa_macrura","Arthropoda",5993,6032,NA,NA
"Thysanoessa_parva","Arthropoda",984,970,920,NA
"Thysanoessa_raschii","Arthropoda",3607,2087,1031,NA
"Thysanoessa_spinifera","Arthropoda",344,NA,NA,NA
"Thysanopoda_aequalis","Arthropoda",4269,3536,2857,NA
"Thysanopoda_astylata","Arthropoda",1359,1018,NA,NA
"Thysanopoda_cornuta","Arthropoda",NA,956,920,NA
"Thysanopoda_egregia","Arthropoda",NA,854,846,NA
"Thysanopoda_monacantha","Arthropoda",2484,2236,1819,NA
"Thysanopoda_orientalis","Arthropoda",NA,2100,NA,NA
"Thysanopoda_tricuspidata","Arthropoda",1731,1406,1150,NA
"Tiburonella_viscana","Arthropoda",411,NA,NA,NA
"Tisbe_furcata","Arthropoda",1758,NA,NA,NA
"Tmetonyx_cicada","Arthropoda",1872,1492,705,NA
"Tomlinsonia_mclaughlinae","Arthropoda",223,NA,NA,NA
"Tomopaguropsis_problematica","Arthropoda",204,176,NA,NA
"Tomopagurus_cokeri","Arthropoda",306,253,NA,NA
"Tomopagurus_wassi","Arthropoda",358,299,NA,NA
"Torometopa_crenatipalmata","Arthropoda",305,317,NA,NA
"Torometopa_dentimanus","Arthropoda",77,80,NA,NA
"Torometopa_saldanhae","Arthropoda",NA,34,34,NA
"Tortanus_discaudatus","Arthropoda",758,NA,NA,NA
"Tortanus_forcipatus","Arthropoda",1069,NA,NA,NA
"Tortanus_setacaudatus","Arthropoda",307,NA,NA,NA
"Tozeuma_carolinense","Arthropoda",357,NA,NA,NA
"Tozeuma_serratum","Arthropoda",351,NA,NA,NA
"Trachycaris_rugosa","Arthropoda",420,338,NA,NA
"Trachypenaeopsis_mobilispinis","Arthropoda",1139,NA,NA,NA
"Trachypenaeopsis_richtersii","Arthropoda",1486,NA,NA,NA
"Trachypenaeus_anchoralis","Arthropoda",689,NA,NA,NA
"Trachysalambria_aspera","Arthropoda",815,NA,NA,NA
"Trachysalambria_brevisuturae","Arthropoda",170,NA,NA,NA
"Trachysalambria_curvirostris","Arthropoda",2259,1663,NA,NA
"Trachysalambria_malaiana","Arthropoda",665,NA,NA,NA
"Transorchestia_chiliensis","Arthropoda",108,NA,NA,NA
"Trapezia_areolata","Arthropoda",138,NA,NA,NA
"Trapezia_bella","Arthropoda",139,NA,NA,NA
"Trapezia_bidentata","Arthropoda",1420,NA,NA,NA
"Trapezia_cymodoce","Arthropoda",1839,NA,NA,NA
"Trapezia_digitalis","Arthropoda",516,NA,NA,NA
"Trapezia_flavopunctata","Arthropoda",320,NA,NA,NA
"Trapezia_formosa","Arthropoda",514,NA,NA,NA
"Trapezia_globosa","Arthropoda",62,NA,NA,NA
"Trapezia_guttata","Arthropoda",666,NA,NA,NA
"Trapezia_lutea","Arthropoda",1028,NA,NA,NA
"Trapezia_punctimanus","Arthropoda",210,206,NA,NA
"Trapezia_rufopunctata","Arthropoda",1210,NA,NA,NA
"Trapezia_septata","Arthropoda",1632,NA,NA,NA
"Trapezia_serenei","Arthropoda",979,NA,NA,NA
"Trapezia_speciosa","Arthropoda",322,NA,NA,NA
"Trapezia_tigrina","Arthropoda",1876,NA,NA,NA
"Trapezioplax_tridentata","Arthropoda",267,NA,NA,NA
"Trevathana_dentata","Arthropoda",1482,NA,NA,NA
"Trevathana_paulayi","Arthropoda",355,NA,NA,NA
"Trianguloscalpellum_annandalei","Arthropoda",NA,1241,1056,NA
"Trianguloscalpellum_balanoides","Arthropoda",NA,747,NA,NA
"Trianguloscalpellum_diota","Arthropoda",NA,1401,1268,NA
"Trianguloscalpellum_hamulus","Arthropoda",917,858,714,NA
"Trianguloscalpellum_regium","Arthropoda",NA,1104,1027,NA
"Trianguloscalpellum_rubrum","Arthropoda",961,876,NA,NA
"Trichopagurus_trichophthalmus","Arthropoda",1283,NA,NA,NA
"Trichopeltarion_nobile","Arthropoda",NA,384,NA,NA
"Triconia_quadrata","Arthropoda",277,266,202,NA
"Tridentella_ornata","Arthropoda",328,NA,NA,NA
"Tridentella_virginiana","Arthropoda",357,305,NA,NA
"Triebelina_sertata","Arthropoda",1746,NA,NA,NA
"Trilasmis_eburnea","Arthropoda",2224,1765,NA,NA
"Trizocarcinus_tacitus","Arthropoda",395,358,NA,NA
"Trizocheles_boasi","Arthropoda",NA,703,NA,NA
"Trizocheles_brachyops","Arthropoda",NA,133,NA,NA
"Trizocheles_pilgrimi","Arthropoda",NA,212,NA,NA
"Trizocheles_spinosus","Arthropoda",NA,2693,2571,1192
"Troglocarcinus_corallicola","Arthropoda",348,NA,NA,NA
"Tropichelura_gomezi","Arthropoda",146,NA,NA,NA
"Trypaea_australiensis","Arthropoda",99,NA,NA,NA
"Trypetesa_lampas","Arthropoda",1842,1145,NA,NA
"Tryphana_malmi","Arthropoda",242,196,NA,NA
"Tryphosella_bispinosa","Arthropoda",177,181,NA,NA
"Tryphosella_trigonica","Arthropoda",19,14,NA,NA
"Tryphosites_chevreuxi","Arthropoda",698,741,NA,NA
"Tuberarcturus_belgicae","Arthropoda",NA,99,NA,NA
"Tuleariocaris_holthuisi","Arthropoda",1038,NA,NA,NA
"Tuleariocaris_neglecta","Arthropoda",148,NA,NA,NA
"Tumidodromia_dormia","Arthropoda",1876,NA,NA,NA
"Tumidotheres_maculatus","Arthropoda",358,NA,NA,NA
"Tutankhamen_cristatipes","Arthropoda",NA,175,NA,NA
"Tweedieia_laysani","Arthropoda",1270,NA,NA,NA
"Tweedieia_odhneri","Arthropoda",128,NA,NA,NA
"Tylaspis_anomala","Arthropoda",NA,3410,3408,1624
"Tylocarcinus_dumerilii","Arthropoda",99,NA,NA,NA
"Tylocarcinus_styx","Arthropoda",1527,NA,NA,NA
"Typhlotanais_aequiremis","Arthropoda",457,249,NA,NA
"Typhlotanais_brevicornis","Arthropoda",447,278,NA,NA
"Typhlotanais_finmarchicus","Arthropoda",NA,1138,551,NA
"Typhlotanais_pulcher","Arthropoda",587,503,401,NA
"Typhlotanais_tenuicornis","Arthropoda",792,561,235,NA
"Typton_carneus","Arthropoda",307,NA,NA,NA
"Typton_distinctus","Arthropoda",112,NA,NA,NA
"Typton_tortugae","Arthropoda",241,NA,NA,NA
"Uca_annulipes","Arthropoda",1465,NA,NA,NA
"Uca_chlorophthalmus","Arthropoda",340,NA,NA,NA
"Uca_crassipes","Arthropoda",990,NA,NA,NA
"Uca_dussumieri","Arthropoda",1139,NA,NA,NA
"Uca_forcipata","Arthropoda",404,NA,NA,NA
"Uca_hesperiae","Arthropoda",676,NA,NA,NA
"Uca_rapax","Arthropoda",205,NA,NA,NA
"Uca_rosea","Arthropoda",404,NA,NA,NA
"Uca_tetragonon","Arthropoda",983,NA,NA,NA
"Uca_vocans","Arthropoda",1442,NA,NA,NA
"Uca_vocator","Arthropoda",194,NA,NA,NA
"Ucides_cordatus","Arthropoda",216,NA,NA,NA
"Ucides_occidentalis","Arthropoda",82,NA,NA,NA
"Uhlorchestia_uhleri","Arthropoda",239,NA,NA,NA
"Ultimachelium_nichollsi","Arthropoda",325,320,NA,NA
"Unciola_irrorata","Arthropoda",96,NA,NA,NA
"Unciola_serrata","Arthropoda",817,677,NA,NA
"Undeuchaeta_major","Arthropoda",3047,2773,2339,NA
"Undeuchaeta_plumosa","Arthropoda",1709,1299,NA,NA
"Undinula_vulgaris","Arthropoda",1558,1124,NA,NA
"Unguicaris_novaecaledoniae","Arthropoda",396,NA,NA,NA
"Upogebia_acanthura","Arthropoda",346,286,NA,NA
"Upogebia_affinis","Arthropoda",473,NA,NA,NA
"Upogebia_africana","Arthropoda",90,NA,NA,NA
"Upogebia_ancylodactyla","Arthropoda",463,NA,NA,NA
"Upogebia_annae","Arthropoda",252,NA,NA,NA
"Upogebia_carinicauda","Arthropoda",1392,NA,NA,NA
"Upogebia_darwinii","Arthropoda",1154,NA,NA,NA
"Upogebia_edulis","Arthropoda",86,NA,NA,NA
"Upogebia_felderi","Arthropoda",193,NA,NA,NA
"Upogebia_holthuisi","Arthropoda",224,NA,NA,NA
"Upogebia_inomissa","Arthropoda",244,NA,NA,NA
"Upogebia_omissa","Arthropoda",262,NA,NA,NA
"Upogebia_pseudochelata","Arthropoda",237,NA,NA,NA
"Upogebia_pugettensis","Arthropoda",71,NA,NA,NA
"Upogebia_pugnax","Arthropoda",531,NA,NA,NA
"Upogebia_savignyi","Arthropoda",267,NA,NA,NA
"Upogebia_spinistipula","Arthropoda",320,NA,NA,NA
"Upogebia_tipica","Arthropoda",162,NA,NA,NA
"Upogebia_vasquezi","Arthropoda",275,NA,NA,NA
"Uristes_adarei","Arthropoda",206,211,NA,NA
"Uristes_gigas","Arthropoda",669,650,NA,NA
"Uristes_murrayi","Arthropoda",487,473,NA,NA
"Urnalana_haematosticta","Arthropoda",1035,NA,NA,NA
"Urnalana_purarensis","Arthropoda",857,NA,NA,NA
"Urocaridella_antonbrunii","Arthropoda",1702,NA,NA,NA
"Urocaridella_antonbruunii","Arthropoda",304,NA,NA,NA
"Urocaridella_urocaridella","Arthropoda",1622,1183,NA,NA
"Uromunna_hayesi","Arthropoda",147,NA,NA,NA
"Uromunna_nana","Arthropoda",413,260,NA,NA
"Uromunna_reynoldsi","Arthropoda",299,NA,NA,NA
"Uroptychodes_albatrossae","Arthropoda",1113,835,NA,NA
"Uroptychodes_benedicti","Arthropoda",956,702,NA,NA
"Uroptychodes_epigaster","Arthropoda",NA,202,NA,NA
"Uroptychodes_mortenseni","Arthropoda",NA,212,NA,NA
"Uroptychodes_musorstomi","Arthropoda",NA,235,NA,NA
"Uroptychodes_okutanii","Arthropoda",NA,62,NA,NA
"Uroptychodes_spinimarginatus","Arthropoda",NA,1216,NA,NA
"Uroptychodes_spinulifer","Arthropoda",311,229,NA,NA
"Uroptychus_acostalis","Arthropoda",NA,2391,2070,NA
"Uroptychus_alcocki","Arthropoda",791,718,NA,NA
"Uroptychus_australis","Arthropoda",NA,2057,1686,NA
"Uroptychus_brevis","Arthropoda",NA,285,205,NA
"Uroptychus_cavirostris","Arthropoda",NA,477,NA,NA
"Uroptychus_ciliatus","Arthropoda",NA,373,NA,NA
"Uroptychus_crassipes","Arthropoda",NA,242,NA,NA
"Uroptychus_gracilimanus","Arthropoda",NA,2882,2417,NA
"Uroptychus_jamaicensis","Arthropoda",NA,132,112,NA
"Uroptychus_joloensis","Arthropoda",1287,945,NA,NA
"Uroptychus_latirostris","Arthropoda",99,54,NA,NA
"Uroptychus_nanophyes","Arthropoda",1649,1333,NA,NA
"Uroptychus_naso","Arthropoda",998,750,NA,NA
"Uroptychus_nigricapillis","Arthropoda",3249,2962,2586,NA
"Uroptychus_nitidus","Arthropoda",388,358,268,NA
"Uroptychus_paku","Arthropoda",10,10,NA,NA
"Uroptychus_pilosus","Arthropoda",NA,1214,1049,NA
"Uroptychus_remotispinatus","Arthropoda",NA,2920,2635,NA
"Uroptychus_rugosus","Arthropoda",187,180,NA,NA
"Uroptychus_scandens","Arthropoda",942,712,NA,NA
"Uroptychus_sibogae","Arthropoda",NA,1792,1496,NA
"Uroptychus_simiae","Arthropoda",NA,97,NA,NA
"Uroptychus_soyomaruae","Arthropoda",NA,3089,2899,NA
"Uroptychus_spinosus","Arthropoda",NA,133,NA,NA
"Uroptychus_tridentatus","Arthropoda",NA,1145,NA,NA
"Uroptychus_uncifer","Arthropoda",238,222,NA,NA
"Uroptychus_yokoyai","Arthropoda",NA,55,NA,NA
"Uroptychus_zezuensis","Arthropoda",662,453,NA,NA
"Urothoe_grimaldii","Arthropoda",650,NA,NA,NA
"Urothoe_poseidonis","Arthropoda",107,NA,NA,NA
"Urothoides_lachneessa","Arthropoda",30,25,NA,NA
"Utinomiella_dimorpha","Arthropoda",1133,NA,NA,NA
"Valdiviella_insignis","Arthropoda",942,940,896,384
"Valdiviella_oligarthra","Arthropoda",378,339,270,NA
"Valettietta_anacantha","Arthropoda",1886,1874,1805,1280
"Varuna_litterata","Arthropoda",2292,1832,NA,NA
"Vaunthompsonia_inermis","Arthropoda",471,NA,NA,NA
"Vaunthompsonia_meridionalis","Arthropoda",139,138,NA,NA
"Vaunthompsonia_minor","Arthropoda",197,NA,NA,NA
"Veleronia_laevifrons","Arthropoda",127,NA,NA,NA
"Venericythere_darwini","Arthropoda",732,NA,NA,NA
"Venericythere_papuensis","Arthropoda",76,NA,NA,NA
"Venitus_dentipes","Arthropoda",179,NA,NA,NA
"Venitus_latreillei","Arthropoda",1218,NA,NA,NA
"Ventiella_sulfuris","Arthropoda",NA,502,502,NA
"Verruca_cookei","Arthropoda",1417,1351,NA,NA
"Verruca_stroemia","Arthropoda",375,NA,NA,NA
"Verum_novaezelandiae","Arthropoda",NA,4316,4258,2046
"Vexillipar_repandum","Arthropoda",NA,173,NA,NA
"Vibilia_australis","Arthropoda",1538,1188,NA,NA
"Vibilia_chuni","Arthropoda",525,415,NA,NA
"Vibilia_gibbosa","Arthropoda",1512,1161,NA,NA
"Vibilia_propinqua","Arthropoda",1304,1114,915,NA
"Vibilia_stebbingi","Arthropoda",1529,1236,995,NA
"Vibilia_viatrix","Arthropoda",1441,NA,NA,NA
"Vir_orientalis","Arthropoda",329,NA,NA,NA
"Vir_philippinensis","Arthropoda",1206,NA,NA,NA
"Waldeckia_obesa","Arthropoda",520,515,220,NA
"Weltnerium_bouvieri","Arthropoda",NA,481,200,NA
"Weltnerium_nymphocola","Arthropoda",1365,891,278,NA
"Weltnerium_poculum","Arthropoda",NA,1115,NA,NA
"Whoia_variabilis","Arthropoda",NA,1070,985,312
"Willemoesia_forceps","Arthropoda",NA,425,391,35
"Willemoesia_inornata","Arthropoda",NA,3302,3270,1296
"Willemoesia_leptodactyla","Arthropoda",NA,13764,13684,8369
"Willemoesia_pacifica","Arthropoda",NA,3690,3679,NA
"Wolffogebia_inermis","Arthropoda",254,NA,NA,NA
"Xanthias_canaliculatus","Arthropoda",171,NA,NA,NA
"Xanthias_lamarcki","Arthropoda",1211,NA,NA,NA
"Xanthias_latifrons","Arthropoda",1234,NA,NA,NA
"Xanthias_punctatus","Arthropoda",1399,NA,NA,NA
"Xanthias_sinensis","Arthropoda",170,NA,NA,NA
"Xanthocalanus_agilis","Arthropoda",1447,1061,NA,NA
"Xenanthura_brevitelson","Arthropoda",386,NA,NA,NA
"Xenograpsus_ngatama","Arthropoda",NA,98,98,NA
"Xestoleberis_aurantia","Arthropoda",482,NA,NA,NA
"Xiphopenaeus_kroyeri","Arthropoda",647,NA,NA,NA
"Xylocheles_macrops","Arthropoda",582,535,NA,NA
"Xylocheles_miersi","Arthropoda",NA,1338,NA,NA
"Xylocythere_vanharteni","Arthropoda",NA,42,42,NA
"Zalasius_horii","Arthropoda",149,NA,NA,NA
"Zausodes_arenicolus","Arthropoda",39,NA,NA,NA
"Zenopontonia_noverca","Arthropoda",177,NA,NA,NA
"Zeuxo_coralensis","Arthropoda",210,NA,NA,NA
"Zeuxo_kurilensis","Arthropoda",257,NA,NA,NA
"Zosimus_actaeoides","Arthropoda",57,NA,NA,NA
"Zosimus_aeneus","Arthropoda",1510,NA,NA,NA
"Zozymodes_pumilus","Arthropoda",1101,NA,NA,NA
"Zozymodes_xanthoides","Arthropoda",1000,NA,NA,NA
"Zuzara_curtispina","Arthropoda",469,NA,NA,NA
"Zuzara_digitata","Arthropoda",473,NA,NA,NA
"Zygopa_michaelis","Arthropoda",233,NA,NA,NA
"Abyssothyris_wyvillei","Brachiopoda",NA,5347,5310,2863
"Acrobrochus_blochmanni","Brachiopoda",NA,2763,2638,NA
"Acrobrochus_vema","Brachiopoda",NA,577,501,NA
"Argyrotheca_cistellula","Brachiopoda",369,NA,NA,NA
"Argyrotheca_cuneata","Brachiopoda",340,NA,NA,NA
"Basiliola_beecheri","Brachiopoda",NA,750,NA,NA
"Campages_furcifera","Brachiopoda",NA,828,599,NA
"Campages_ovalis","Brachiopoda",218,218,NA,NA
"Cancellothyris_hedleyi","Brachiopoda",269,194,NA,NA
"Chlidonophora_incerta","Brachiopoda",NA,301,291,35
"Compsothyris_racovitzae","Brachiopoda",NA,225,225,NA
"Cryptopora_boettgeri","Brachiopoda",NA,215,NA,NA
"Cryptopora_gnomon","Brachiopoda",NA,12016,10271,4605
"Dallina_septigera","Brachiopoda",505,407,225,NA
"Dallithyris_pacifica","Brachiopoda",NA,420,NA,NA
"Discradisca_sparselineata","Brachiopoda",532,440,NA,NA
"Eucalathis_ergastica","Brachiopoda",NA,854,727,NA
"Eucalathis_rugosa","Brachiopoda",275,281,NA,NA
"Fallax_dalliniformis","Brachiopoda",NA,31,10,NA
"Fallax_neocaledonensis","Brachiopoda",410,415,386,NA
"Frenulina_sanguinolenta","Brachiopoda",1828,1667,1488,NA
"Glottidia_albida","Brachiopoda",147,99,NA,NA
"Glottidia_audebarti","Brachiopoda",88,NA,NA,NA
"Grammetaria_bartschi","Brachiopoda",NA,660,NA,NA
"Gryphus_vitreus","Brachiopoda",23,15,NA,NA
"Gwynia_capsula","Brachiopoda",245,NA,NA,NA
"Jaffaia_jaffaensis","Brachiopoda",89,83,NA,NA
"Jolonica_hedleyi","Brachiopoda",NA,727,NA,NA
"Laqueus_rubellus","Brachiopoda",154,89,NA,NA
"Leptothyrella_fijiensis","Brachiopoda",278,274,NA,NA
"Lingula_adamsi","Brachiopoda",1003,762,NA,NA
"Lingula_anatina","Brachiopoda",2327,1616,NA,NA
"Liothyrella_moseleyi","Brachiopoda",NA,7599,7340,3062
"Liothyrella_neozelanica","Brachiopoda",376,364,259,NA
"Liothyrella_uva","Brachiopoda",NA,736,NA,NA
"Macandrevia_americana","Brachiopoda",3185,3153,2995,1211
"Macandrevia_diamantina","Brachiopoda",NA,8097,8073,4331
"Magellania_joubini","Brachiopoda",6184,6191,5521,NA
"Magellania_macquariensis","Brachiopoda",886,885,NA,NA
"Magellania_venosa","Brachiopoda",1241,1126,1058,NA
"Megathiris_detruncata","Brachiopoda",214,NA,NA,NA
"Megerlia_truncata","Brachiopoda",851,768,NA,NA
"Minutella_minuta","Brachiopoda",841,801,NA,NA
"Neothyris_lenticularis","Brachiopoda",169,157,NA,NA
"Notosaria_pyxidata","Brachiopoda",41,36,NA,NA
"Novocrania_anomala","Brachiopoda",292,NA,NA,NA
"Pajaudina_atlantica","Brachiopoda",77,77,73,NA
"Pelagodiscus_atlanticus","Brachiopoda",29539,28831,26879,15571
"Phaneropora_galatheae","Brachiopoda",NA,9560,9167,NA
"Platidia_anomioides","Brachiopoda",5061,4379,3419,NA
"Platidia_davidsoni","Brachiopoda",356,320,NA,NA
"Septicollarina_zezinae","Brachiopoda",716,682,NA,NA
"Terebratalia_transversa","Brachiopoda",805,755,567,NA
"Terebratella_dorsata","Brachiopoda",273,165,NA,NA
"Terebratulina_callinome","Brachiopoda",408,386,NA,NA
"Terebratulina_pacifica","Brachiopoda",51,31,NA,NA
"Terebratulina_reevi","Brachiopoda",901,634,NA,NA
"Terebratulina_retusa","Brachiopoda",817,557,NA,NA
"Thecidellina_barretti","Brachiopoda",1149,NA,NA,NA
"Thecidellina_maxilla","Brachiopoda",1698,1575,1404,NA
"Xenobrochus_africanus","Brachiopoda",1434,1286,NA,NA
"Xenobrochus_naudei","Brachiopoda",198,175,NA,NA
"Aidanosagitta_johorensis","Chaetognatha",1007,664,NA,NA
"Aidanosagitta_neglecta","Chaetognatha",1860,1425,NA,NA
"Aidanosagitta_oceania","Chaetognatha",1003,NA,NA,NA
"Aidanosagitta_regularis","Chaetognatha",1421,1040,NA,NA
"Aidanosagitta_septata","Chaetognatha",451,282,NA,NA
"Caecosagitta_macrocephala","Chaetognatha",NA,15398,14958,9459
"Decipisagitta_decipiens","Chaetognatha",2886,2399,1923,NA
"Eukrohnia_bathypelagica","Chaetognatha",NA,19907,18527,NA
"Eukrohnia_calliops","Chaetognatha",NA,38,NA,NA
"Eukrohnia_fowleri","Chaetognatha",NA,2949,2266,NA
"Eukrohnia_hamata","Chaetognatha",21949,19813,17272,NA
"Eukrohnia_kitoui","Chaetognatha",NA,31,NA,NA
"Ferosagitta_ferox","Chaetognatha",1858,1423,NA,NA
"Ferosagitta_hispida","Chaetognatha",482,360,NA,NA
"Ferosagitta_robusta","Chaetognatha",1859,1424,NA,NA
"Flaccisagitta_enflata","Chaetognatha",3431,2642,NA,NA
"Flaccisagitta_hexaptera","Chaetognatha",3304,2594,NA,NA
"Heterokrohnia_mirabilis","Chaetognatha",NA,2749,2695,NA
"Krohnitta_pacifica","Chaetognatha",2377,1870,NA,NA
"Krohnitta_subtilis","Chaetognatha",3144,2503,NA,NA
"Mesosagitta_minima","Chaetognatha",3341,2588,NA,NA
"Parasagitta_elegans","Chaetognatha",1781,NA,NA,NA
"Parasagitta_euneritica","Chaetognatha",258,246,NA,NA
"Parasagitta_friderici","Chaetognatha",2228,1665,NA,NA
"Parasagitta_megalophthalma","Chaetognatha",147,129,NA,NA
"Parasagitta_peruviana","Chaetognatha",88,75,NA,NA
"Parasagitta_popovicii","Chaetognatha",124,107,NA,NA
"Parasagitta_tenuis","Chaetognatha",388,275,NA,NA
"Paraspadella_nana","Chaetognatha",224,143,NA,NA
"Paraspadella_schizoptera","Chaetognatha",347,277,NA,NA
"Pseudosagitta_gazellae","Chaetognatha",NA,915,NA,NA
"Pseudosagitta_lyra","Chaetognatha",1584,1190,NA,NA
"Pseudosagitta_maxima","Chaetognatha",5798,4033,NA,NA
"Pseudosagitta_scrippsae","Chaetognatha",325,NA,NA,NA
"Pterosagitta_draco","Chaetognatha",3237,2588,NA,NA
"Sagitta_bipunctata","Chaetognatha",NA,1732,NA,NA
"Sagitta_helenae","Chaetognatha",574,367,NA,NA
"Serratosagitta_bierii","Chaetognatha",355,330,NA,NA
"Serratosagitta_pacifica","Chaetognatha",1372,1013,NA,NA
"Serratosagitta_serratodentata","Chaetognatha",3553,2698,NA,NA
"Solidosagitta_marri","Chaetognatha",NA,625,NA,NA
"Solidosagitta_zetesios","Chaetognatha",2267,1758,1319,NA
"Spadella_cephaloptera","Chaetognatha",1090,NA,NA,NA
"Zonosagitta_pulchra","Chaetognatha",1716,1302,NA,NA
"Abalistes_filamentosus","Chordata",1163,NA,NA,NA
"Abalistes_stellaris","Chordata",2041,NA,NA,NA
"Abalistes_stellatus","Chordata",1793,1363,NA,NA
